2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:11 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
