2025-07-05 08:16:27 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 08:16:27 | KISCollector | INFO     | _load_saved_token | ✅ 저장된 토큰 로드 성공 (생성: 2025-07-05 07:35, 남은시간: 23.1시간)
2025-07-05 08:16:27 | KISCollector | INFO     | initialize      | ✅ 저장된 토큰 사용
2025-07-05 08:16:27 | KISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-05 08:16:27 | KISCollector | INFO     | initialize      | 🔌 KIS API 연결 초기화 중...
2025-07-05 08:16:27 | KISCollector | INFO     | _load_saved_token | ✅ 저장된 토큰 로드 성공 (생성: 2025-07-05 07:35, 남은시간: 23.1시간)
2025-07-05 08:16:27 | KISCollector | INFO     | initialize      | ✅ 저장된 토큰 사용
2025-07-05 08:16:27 | KISCollector | INFO     | initialize      | ✅ KIS API 초기화 완료
2025-07-05 08:16:27 | KISCollector | INFO     | get_filtered_stocks | 🔍 종목 필터링 시작 (목표: 20개)
2025-07-05 08:16:27 | KISCollector | INFO     | get_filtered_stocks_pykrx | 🔍 pykrx 기반 종목 필터링 시작 (목표: 20개)
2025-07-05 08:16:27 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📅 데이터 기준일: 20250704
2025-07-05 08:16:27 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📊 KOSPI 시장 필터링 중...
2025-07-05 08:16:31 | KISCollector | INFO     | get_filtered_stocks_pykrx | ✅ KOSPI 필터링 완료: 829개 종목
2025-07-05 08:16:31 | KISCollector | INFO     | get_filtered_stocks_pykrx | 📊 KOSDAQ 시장 필터링 중...
2025-07-05 08:16:32 | KISCollector | INFO     | get_filtered_stocks_pykrx | ✅ KOSDAQ 필터링 완료: 1447개 종목
2025-07-05 08:16:32 | KISCollector | INFO     | _cache_filtered_stocks | 💾 20개 종목을 캐시에 저장했습니다.
2025-07-05 08:16:32 | KISCollector | INFO     | get_filtered_stocks_pykrx | ✅ pykrx 필터링 완료: 총 20개 종목 선정
2025-07-05 08:16:32 | KISCollector | INFO     | get_filtered_stocks | ✅ pykrx 필터링 완료: 20개 종목
2025-07-05 08:16:32 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 005930 (삼성전자) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-05 08:16:32 | NewsCollector | INFO     | analyze_stock_materials | 
🔍 삼성전자 (005930) 재료 분석 중...
2025-07-05 08:16:32 | NewsCollector | INFO     | search_stock_news_naver |    🔍 네이버에서 삼성전자 뉴스 검색 중...
2025-07-05 08:16:37 | NewsCollector | INFO     | search_stock_news_naver |    📰 삼성전자 뉴스 10개 수집
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |    📄 장기재료: 반면삼성전자는 이번 분기에도 영업이익이 뒤처질 것이 유력한 마당에 보상 체계 경쟁력마저 밀...
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |       키워드: AI, 영업이익, AI
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |    📄 장기재료: 삼성전자반도체 사업부 직원들이 올 상반기 예년보다 큰 폭으로 감소한 성과급을 받는다.삼성전...
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |       키워드: AI, AI
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |    📄 장기재료: 5일 국내 주요기업이 발간한 '2025 지속가능경영보고서'에 따르면삼성전자는 임직원이 임신...
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 지속가능경영
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |    📄 장기재료: 다만 지난해 인공지능(AI) 확산에 힘입어 고대역폭메모리(HBM)와 데이터센터용기업용 솔리...
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |       키워드: 인공지능, AI, 회복...
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials |    ✅ 재료 분석 완료: 장기재료 (가중치 점수: 21.99)
2025-07-05 08:16:37 | AnalysisEngine | INFO     | calculate_news_sentiment_score |    📰 뉴스 분석: 장기재료 (재료점수: 22.0, 최종점수: 95.0)
2025-07-05 08:16:37 | SupplyDemandAnalyzer | INFO     | analyze         | 📊 수급 분석 시작 - 005930
2025-07-05 08:16:37 | SupplyDemandAnalyzer | INFO     | analyze         | ✅ 수급 분석 완료 - 005930 점수: 68.2
2025-07-05 08:16:37 | ChartPatternAnalyzer | INFO     | analyze         | 📈 차트패턴 분석 시작 - 005930
2025-07-05 08:16:37 | PatternDetector | INFO     | detect_patterns | 🔍 패턴 감지 시작 - 005930
2025-07-05 08:16:37 | PatternDetector | INFO     | detect_patterns | ✅ 패턴 감지 완료 - 005930: 0개 패턴, 점수: 50.0
2025-07-05 08:16:37 | ChartPatternAnalyzer | INFO     | analyze         | ✅ 차트패턴 분석 완료 - 005930 점수: 39.4
2025-07-05 08:16:37 | AnalysisEngine | INFO     | analyze_comprehensive |    🎁 재료 보너스: +8점 (장기재료)
2025-07-05 08:16:37 | AnalysisEngine | INFO     | analyze_comprehensive | ✅ 005930 종합 분석 완료 - 점수: 85.8, 추천: BUY
2025-07-05 08:16:37 | AnalysisEngine | INFO     | analyze_comprehensive |    📊 구성: 기술(60.0) + 펀더(85.0) + 뉴스(95.0) + 수급(68.2) + 패턴(39.4)
2025-07-05 08:16:37 | AnalysisEngine | INFO     | analyze_comprehensive | 🔬 000660 (SK하이닉스) 종합 분석 시작 (수급+차트패턴 포함)...
2025-07-05 08:16:37 | NewsCollector | INFO     | analyze_stock_materials | 
🔍 SK하이닉스 (000660) 재료 분석 중...
2025-07-05 08:16:37 | NewsCollector | INFO     | search_stock_news_naver |    🔍 네이버에서 SK하이닉스 뉴스 검색 중...
